id,name,role
812,Константин Стенькин,director
813,Питер Фачинелли,actor
814,Пьерс Темпест,producer
815,Сергей Кусков,actor
816,Мизанур Рахаман,actor
817,Льюис Гилберт,director
818,Николай Валуев,actor
819,Руперт Дегас,actor
820,Алексей Драницын,actor
821,Константин Райх,director
822,Кристофор Браун,writer
823,Дэвид Петкау,actor
824,Дэвид Уорнер,actor
825,Каролине Херфурт,actor
826,Питер Гриффитс,writer
827,Питер Галлахер,producer
828,Кристал Ноэль,actor
829,Уильям Моузли,actor
830,Дэн Брэдли,director
831,Всеволод Пудовкин,director
832,Хулио Фернандес,producer
833,Виола-Франциска Блоэсс,producer
834,Владимир Кабалин,actor
835,Алексей Злобин,actor
836,Георгий Рюмин,producer
837,Альфред Шнитке,composer
838,Марк А. Бэйкер,producer
839,Гэри Локвуд,actor
840,Феликс Эскин,director
841,Павел Личникофф,actor
842,Энджи Макферсон,actor
843,Алексей Баталов,writer
844,Фредди Хаймор,actor
845,Наэль Томас,actor
846,Миган Гуд,actor
847,Джеспер Мюллер,director
848,Клорис Личмен,actor
849,Ю-Ханг То,actor
850,Марина Степанова,actor
851,Галина Анисимова,actor
852,Сьюр Ортун,editor
853,Ольга Десятскова,presenter
854,Франсис Вебер,director
855,Галина Вишневская,actor
856,Рейчел Херд-Вуд,actor
857,Елизавета Зарубина,actor
858,Виктор Стрельченко,writer
859,Леонид Соловьев,writer
860,Алисия МакГилл,actor
861,Станислав Лем,writer
862,Милли Дэвис,actor
863,Алексей Нестеренко,actor
864,Райан Рейнольдс,actor
865,Эрик Хойманн,producer
866,Алиса Клагиш,actor
867,Пэт Бьюкэнэн,actor
868,Антонина Комиссарова,actor
869,Биргит Ротхёрль,producer
870,Джон Тёртлтауб,director
871,Дмитрий Харатьян,actor
872,Билл Келли,writer
873,Джон Херт,actor
874,Дэвид Эстон,actor
875,Джон МакДоннел,producer
876,Хиннерк Шонеманн,actor
877,Пол Уэбстер,producer
878,Джефф Джур,editor
879,Геннадий Трофимов,composer
880,Татьяна Юкина,actor
881,Дмитрий Быковский-Ромашов,actor
882,Арт Малик,actor
883,Бао Вьет,actor
884,Анна Седокова,actor
885,Дэвид Хеммингс,actor
886,Зигхардт Рупп,actor
887,Мартин Сенсмейер,actor
888,Ник Гатфилд,actor
889,Герберт Раппапорт,writer
890,Энджи Руис,actor
891,Николай Волков,actor
892,Кайс Кандиль,actor
893,Павел Багряк,writer
894,Лоуренс Джонстон,actor
895,Зак Снайдер,director
896,Кристофер Уорд,producer
897,Снгму Ли,director
898,Сергей Коковкин,actor
899,Роберт Вейд,writer
900,Алексей Тельнов,director
901,Джордан Хэйес,actor
902,Бен Аффлек,director
903,Родриго Санторо,actor
904,Владимир Устюгов,actor
905,Мэгги Грэйс,actor
906,Вероника Устимова,actor
907,Лихи Корновски,actor
908,Михаил Екатерининский,actor
909,Патрик Берджин,actor
910,Эрик Кристиан Олсен,actor
911,Джонатан Керриган,actor
912,"Алехандро Гонсалес Иньярриту,",producer
913,Любовь Аксёнова,actor
914,Сара Сон,actor
915,Антон Гиллис-Адельман,actor
916,Антонио Кальваче,editor
917,Борис Аракелов,actor
918,Шайа ЛаБаф,actor
919,Чэнь Даомин,actor
920,Дэвид Линч,actor
921,Сергей Анненков,actor
922,Эмили Лео,producer
923,Джон Гец,actor
924,Джордана Ларги,actor
925,Хансйорг Вайссбрих,editor
926,Масам Холден,actor
927,Армен Грейг,actor
928,Саския Малдер,actor
929,Юрий Ицков,actor
930,Ари Астер,writer
931,Амалия Мордвинова,actor
932,Хуанг И,actor
933,Николай Бармин,actor
934,Билл Нотон,writer
935,Эндрю Адамсон,director
936,Тарсем Сингх,director
937,Джули Кавнер,actor
938,Том Ву,actor
939,Таисия Игуменцева,director
940,Тедди Шварцман,producer
941,Михаил Донской,writer
942,Тайлер Джеймс Уильямс,actor
943,Луис Си Кэй,actor
944,Джефф Кокс,writer
945,Зои Нэйлор,actor
946,Евгения Жигуленко,writer
947,Нум Дьявара,actor
